key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,criteria_1,criteria_2,criteria_3,criteria_4
rayyan-222134685,AI adoption by human resource management: a study of its antecedents and impact on HR system effectiveness,2023,3,16,FORESIGHT,"[""1463-6689"", ""1465-9832     J9  - FORESIGHT     JI  - Foresight""]",25,1,67-81,"Agarwal, A",,English,,"Amity Univ, Dept Behav Sci, Noida, India","Purpose The purpose of this study is to explore and examine the determinants of artificial intelligence (AI) adoption by human resource management (HRM). Further, the impact of AI adoption by HR department on their effectiveness has also been tested. Design/methodology/approach A model explaining the antecedents of AI adoption by HRM is proposed in this study. The proposed model is based on task-organization-environment and task-technology fit models. A two-step partial least square-based structural equational modelling (PLS-SEM) has been used for testing the model. Data was collected from 210 HRM employees (only senior level or specialized HR positions), working in IT firms located in Delhi-NCR region. Findings Literature review shows that among others, organizational preparedness, perceived benefits and technology readiness determine AI adoption which in turn can make HR system more effective. Results of PLS-SEM support all hypothesized relationships and validate the proposed model. Originality/value Considering paucity of research on antecedents of AI adoption by human resource department, this study adds significantly to the body of knowledge. Additionally, based on the findings of statistical analysis, certain AI-related recommendations are given to HRM.",,10.1108/FS-10-2021-0199,Artificial intelligence;Technology adoption;HR effectiveness;AI adoption;TOE model;TTF model;ELECTRONIC COMMERCE ADOPTION;INFORMATION-TECHNOLOGY;FIRM PERFORMANCE;E-BUSINESS;PLS-SEM;DETERMINANTS;MODEL;CAPABILITIES;FRAMEWORK;SMES,,,True,False,False,False
rayyan-222134686,Transforming Supply Chain Management with Industry 4.0: Post-COVID-19 Digital Advancements,2024,,,"2024 IEEE COLOMBIAN CONFERENCE ON COMMUNICATIONS AND COMPUTING, COLCOM 2024","[""2771-5671"", ""979-8-3315-0472-4"", ""979-8-3315-0473-1     J9  - Colombian Communicat""]",,,,"Mubarik, M and Zviniene, SM and Mubarak, MF and Ghobakhloo, M and Evans, R",,English,,"[""Vilnius Univ, Business Sch, Vilnius, Lithuania"", ""Dalhousie Univ, Fac Comp Sci, Halifax, NS, Canada"", ""Uppsala Univ, Div Ind Engn & Management, S-75121 Uppsala, Sweden""]","Industry 4.0 technologies (e.g., Blockchain, Internet of Things (IoT), Artificial intelligence (AI), cloud computing), offer strategic advantages to firms by enhancing cost efficiency and optimizing supply chain performance. The COVID-19 pandemic exposed significant vulnerabilities in global supply chains, prompting firms to adopt Industry 4.0 technologies to improve their supply chain performance. This study aims to examine the impact of Industry 4.0-based digitalization on firms' supply chain performance, with a focus on integrating digital technologies into Cyber-Physical Systems (CPS). A positivist approach and quantitative research method was employed, using a structured questionnaire distributed to 319 Small and Medium-sized Enterprises (SMEs) in Malaysia's Electrical and Electronics industry, with 152 valid responses analyzed through Partial Least Squares Structural Equation Modeling (PLS-SEM). The study's research model suggests that Industry 4.0-based digitalization capabilities directly influences firms' overall supply chain performance, moderated by antifragility capability and enhanced through process innovation and social capital. The study shows that digital transformation improves firms' integration, communication, and collaboration capabilities using the Dynamic Capabilities View (DCV) and Relational View (RV) of an organization. These capabilities promote firms' process innovation, antifragility, and social capital, which can lead to improved supply chain performance, post COVID-19. The study's findings demonstrate the importance of firms advancing their digital competencies to remain competitive in turbulent business environments.",,10.1109/COLCOM62950.2024.10720276     WE  - Conference Proceedings Citation Index - Science (CPCI-S),Industry 4.0;Digital Transformation;Supply Chain Management;Digitalization Capabilities;Manufacturing Sector;INNOVATION CAPABILITY,,,True,True,False,False
rayyan-222134687,Toward an Adaptive Approach to Implement Predictive Maintenance in Metallurgical Industry SMEs Through IoT and AI,2022,,,"PRODUCT LIFECYCLE MANAGEMENT: GREEN AND BLUE TECHNOLOGIES TO SUPPORT SMART AND SUSTAINABLE ORGANIZATIONS, PT I","[""1868-4238"", ""1868-422X"", ""978-3-030-94335-6"", ""978-3-030-94334-9     J9  - IFIP ADV INF COMM TE""]",639,,537-547,"Tanane, B and Bentaha, ML and Dafflon, B and Ferreiro, V and Moalla, N",,English,,"[""Univ Lyon, Univ Lumiere Lyon 2, INSA Lyon, Univ Claude Bernard Lyon 1,DISP,EA4570, F-69676 Bron, France"", ""Univ Lyon, Univ Claude Bernard Lyon 1, INSA Lyon, Univ Lumiere Lyon 2,DISP,EA 4570, F-69621 Villeurbanne, France"", ""TARDY SAS, La Grand Croix, France""]","Industrial actors are striving to transition to Industry 4.0 in order to enhance their production capacities, reduce costs and increase benefits. Their aim is to maintain competitive edges over their competitors in the global market. While this new paradigm introduced many technologies to improve manufacturing in general and machinery maintenance in particular, its implementation can be very challenging for SMEs due to hurdles such as limited financial leeway and lack of adaptability to their business operating environment specificities. This paper presents a conceptual approach to implement predictive maintenance while ensuring adaptability and cost-effectiveness by taking into account business related legacy data in the design phase, in order to provide SMEs with a simplified access to smart factory principles.",,10.1007/978-3-030-94335-6_38     WE  - Conference Proceedings Citation Index - Science (CPCI-S),Industry 4.0;Predictive maintenance;Wireless sensor network;Self-adaptability;Manufacturing;IoT;AI;SME,,,True,True,False,False
rayyan-222134689,Smart manufacturing operating systems considering parts utilization for engineer-to-order production with make-to-stock parts,2020,2,,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,"[""0925-5273"", ""1873-7579     J9  - INT J PROD ECON     JI  - Int. J. Prod. Econ.""]",220,,,"Weng, JH and Mizoguchi, S and Akasaka, S and Onari, H",,English,,"[""Kanagawa Univ, Fac Engn, Dept Ind Engn & Management, Kanagawa Ku, 3-27-1 Rokkakubashi, Yokohama, Kanagawa 2218686, Japan"", ""Waseda Univ, Grad Sch Creat & Engn, Dept Business Design & Management, Shinjuku Ku, 3-4-1 Okubo, Tokyo 1698555, Japan"", ""Waseda Res Inst Sci & Engn, Shinjuku Ku, 3-4-1 Okubo, Tokyo 1698555, Japan""]","The fourth industrial revolution is expected to be powered by emerging technology breakthroughs in fields including robotics and artificial intelligence. Consequently, companies and countries are exploring smart, autonomous factories that can handle various customer requirements. However, 99.5% of Japanese manufacturers are small and medium-sized enterprises. Most of them lack digital connections even among internal departments, and their average labor productivity is only 43% that of large manufacturers. To realize a smart factory that can provide customized products over tight deadlines with high productivity, this study focuses on small and medium-sized engineer-to-order firms that fabricate parts before orders for final products are placed. Inventories suffering from both a lack and excess of parts are a major issue for such firms. To ensure such firms operate efficiently, we propose a novel production operating system that can link different types of information obtained by the sales, production, and procurement departments. Parts preparation is conducted by using future inquiry information, and the available parts are used through a predetermined order-receiving plan. The order-receiving plan is developed as an integer linear programming problem with constraints of parts inventory and short-term inquiry information. The efficacy of the proposed operating system in both increasing orders and reducing parts inventory is validated. We believe that our findings can significantly aid in the realization of future smart factories.",,10.1016/j.ijpe.2019.07.032     WE  - Science Citation Index Expanded (SCI-EXPANDED),SMART factory;Mass customization;Engineer-to-order (ETO);Product functional specification;Production seat booking system,,,False,True,True,False
rayyan-222134691,Editorial: Insights,2019,11,,TECHNOLOGY INNOVATION MANAGEMENT REVIEW,1927-0321     J9  - TECHNOL INNOV MANAG     JI  - Technol. Innov. Manag. Rev.,9,11,3-4,"Tanev, S and Sandstrom, G",,English,,,,Excluded,10.22215/timreview/1278     WE  - Emerging Sources Citation Index (ESCI),"entrepreneurship;new venture teams;teamwork;entrepreneurial ecosystems;entrepreneurial university;entrepreneurship education;university business incubation;triple helix;quadruple helix;international entrepreneurship;digitalization;competitive advantage;innovation;marketing;learning capabilities;SMEs;deepfake;fake news;artificial intelligence;deep learning;cybersecurity;design rules;motivation;sanctions;leadership;PU  - CARLETON UNIV GRAPHIC SERVICES;PI  - OTTAWA;PA  - DUNTON TOWER RM 2122, 1125 COLONEL BY DR, OTTAWA, ON K1A 5B6, CANADA",,,False,False,False,False
rayyan-222134694,A knowledge-based decision-support-system for e-commerce,2005,,,EUROMEDIA '2005: 11TH ANNUAL EUROMEDIA CONFERENCE,90-77381-17-1,,,146-150     WE  - Conference Proceedings Citation Index - Science (CPCI-S),"Kassel, S and Grebenstein, K and Tittmann, C",,English,,"Univ Appl Sci, Westsachs Hsch Zwickau, FH, D-08012 Zwickau, Germany     PU  - EUROSIS     PI  - GHENT     PA  - GHENT UNIV, COUPURE LINKS 653, GHENT, B-9000, BELGIUM","Commercialisation of the Internet has led to an advent of new business models and companies providing Internet services. Particularly, the World Wide Web evolved from a pure information repository, to a platform for interactive and multimedia applications, leading to new marketing channels. The execution of business processes is more and more shifting to the internet, causing the emergence of new markets and new technologies.        Especially small and medium-sized enterprises are confronted with the task Of using the new information and cornmunication technologies, particularly the technology of e-commerce, to gain competitive advantages. This challenge can be mastered by using commercial products providing a connection to Internet marketplaces like eBay. Thus, eBay becomes integrated into IT-systems as an additional sales channel. This is especially useful for selling seasonal products or remaining stock.        One vendor Of Such products is AGETO GmbH, located in Jena, Germany. In a joint project of AGETO and the University of Applied Sciences Zwickau a combination and integration of Knowledge Management, Business Intelligence and Artificial Intelligence methods are used for implementing a Decision Support System, aiming at determining the optimum selling time for auctions on public marketplaces. The necessary decision knowledge is derived from a data warehouse comprising of sales data on the electronic marketplace. The architecture of the overall system is described, and the progress of the project is depicted.",,,e-commerce;public market places;business intelligence;market intelligence;knowledge management;expert systems,,,True,True,False,False
rayyan-222134695,Artificially intelligent process planner for automated fiber placement,2024,7,,MANUFACTURING LETTERS,2213-8463     J9  - MANUF LETT     JI  - Manuf. Lett.,40,,143-145,"Brasington, A and Godbold, M and Harik, R",,English,,"Univ South Carolina, McNair Aerosp Ctr, 1000 Catawba St, Columbia, SC 29208 USA","Automated Fiber Placement (AFP) is a critical process in the manufacturing of advanced composite structures. The accurate and efficient placement of fibers plays a vital role in determining the final strength and integrity of the composite part. This paper presents an artificially intelligent process planner designed to optimize and automate the fiber placement process. The system utilizes advanced machine learning techniques to analyze design specifications, simulate fiber placement scenarios, and generate optimized placement plans. Through the integration of artificial intelligence, this process planner aims to enhance the speed, accuracy, and reliability of AFP, leading to improved composite structures. (c) 2024 Society of Manufacturing Engineers (SME). Published by Elsevier Ltd. All rights reserved.",,10.1016/j.mfglet.2024.03.020,Automated fiber placement;Process planning;Expert systems;Path planning;Artificial intelligence,,,True,False,True,False
rayyan-222134696,Model-based deep learning for additive manufacturing: New frontiers and applications,2021,8,,MANUFACTURING LETTERS,2213-8463     J9  - MANUF LETT     JI  - Manuf. Lett.,29,,94-98,"Ghungrad, S and Gould, B and Soltanalian, M and Wolff, SJ and Haghighi, A",,English,,"[""Univ Illinois, Dept Mech & Ind Engn, Chicago, IL 60607 USA"", ""Argonne Natl Lab, Appl Mat Div, 9700 S Cass Ave, Lemont, IL 60439 USA"", ""Univ Illinois, Dept Elect & Comp Engn, Chicago, IL 60607 USA"", ""Texas A&M Univ, Ind & Syst Engn, College Stn, TX 77843 USA""]","Artificial intelligence has created disruptive possibilities in additive manufacturing towards smarter design, process control, and quality assurance. Nonetheless, the scarcity of data in additive manufacturing significantly limits the wide adoption of artificial intelligent techniques. In this work, we propose the deployment of a novel artificial intelligent structure called model-based deep learning in the context of additive manufacturing which can address scenarios with scarce data but an available underlying iterative mathematical/inference model. Several immediate applications of this technique in the additive manufacturing research as well as a proof of concept on temperature profile prediction in metal AM process are presented. (C) 2021 Society of Manufacturing Engineers (SME). Published by Elsevier Ltd. All rights reserved.",,10.1016/j.mfglet.2021.07.008,Additive manufacturing;Model-based deep learning;Artificial intelligence;Data scarcity;Process and material variability;TOPOLOGY OPTIMIZATION;DESIGN,,,True,False,True,False
rayyan-222134697,Conversational Agents for Insurance Companies: From Theory to Practice,2019,,,"AGENTS AND ARTIFICIAL INTELLIGENCE, ICAART 2019","[""0302-9743"", ""1611-3349"", ""978-3-030-37494-5"", ""978-3-030-37493-8     J9  - LECT NOTES ARTIF INT""]",11978,,338-362,"Koetter, F and Blohm, M and Drawehn, J and Kochanowski, M and Goetzer, J and Graziotin, D and Wagner, S",,English,,"[""Fraunhofer Inst Ind Engn, Nobelstr 12, D-70569 Stuttgart, Germany"", ""Univ Stuttgart, Univ Str 38, D-70569 Stuttgart, Germany""]","Advances in artificial intelligence have renewed interest in conversational agents. Additionally to software developers, today all kinds of employees show interest in new technologies and their possible applications for customers. German insurance companies generally are interested in improving their customer service and digitizing their business processes. In this work we investigate the potential use of conversational agents in insurance companies theoretically by determining which classes of agents exist which are of interest to insurance companies, finding relevant use cases and requirements. We add two practical parts: First we develop a showcase prototype for an exemplary insurance scenario in claim management. Additionally in a second step, we create a prototype focusing on customer service in a chatbot hackathon, fostering innovation in interdisciplinary teams. In this work, we describe the results of both prototypes in detail. We evaluate both chatbots defining criteria for both settings in detail and compare the results and draw conclusions for the maturity of chatbot technology for practical use, describing the opportunities and challenges companies, especially small and medium enterprises, face.",,10.1007/978-3-030-37494-5_17     WE  - Conference Proceedings Citation Index - Science (CPCI-S),Conversational agents;Intelligent user interfaces;Hackathon;NLP chatbot;Insurance,,,True,True,False,False
rayyan-222134699,GeNIS: A modular dataset for network intrusion detection and classification,2025,6,,DATA IN BRIEF,2352-3409     J9  - DATA BRIEF     JI  - Data Brief,60,,,"Silva, M and Pinto, D and Vitorino, J and Gonçalves, J and Maia, E and Praça, I",,English,,"Polytech Porto ISEP IPP, Sch Engn, Res Grp Intelligent Engn & Comp Adv Innovat & Dev, P-4249015 Porto, Portugal","The development of artificial intelligence solutions for cyberattack detection and classification require high-quality and representative data. However, there is a scarcity of labelled datasets focused on the cyberattacks that target vulnerable small and medium-sized enterprises. To allow organizations to improve their intrusion detection systems according to their types of users, their active services, and the network protocols they use, it is necessary to provide reliable captures of different types of benign and malicious traffic. The GECAD Network Intrusion Scenarios (GeNIS) dataset contains multiple sequential attack scenarios and different types of realistic normal network activity, recorded during advanced network simulations on the Airbus CyberRange platform. The raw network packets were analyzed to generate labelled network flows, with the computation of statistical features to represent the traffic patterns of local and remote attackers, normal users and administrators, and background traffic of an enterprise computer network. GeNIS follows a modular design, providing raw packet capture next generation (PCAPNG) files with over 37 million packets of each intermediate attack step to enable an in-depth analysis with different flow exporters, feature extraction, and feature selection tools, as well as filtered CSV files with over 2.8 million flows created with 5, 10, 30, and 60 s flow intervals. The flows were preprocessed to provide a reliable benchmark dataset with the most relevant features for the training, validation, and testing of robust machine learning and deep learning models.",,10.1016/j.dib.2025.111487     WE  - Emerging Sources Citation Index (ESCI),Network flow;Packet capture;Attack classification;Anomaly detection;Machine learning;Cybersecurity;Dataset,,,True,True,True,False
rayyan-222134700,Analysis of the Risk Impact of Implementing Digital Innovations for Logistics Management,2019,11,,PROCESSES,2227-9717     J9  - PROCESSES     JI  - Processes,7,11,,"Barczak, A and Dembinska, I and Marzantowicz, L",,English,,"[""West Pomeranian Univ Technol Szczecin, Dept Syst Anal & Finance, PL-70310 Szczecin, Poland"", ""Maritime Univ Szczecin, Fac Engn & Econ Transport, PL-70500 Szczecin, Poland"", ""SGH Warsaw Sch Econ, Dept Logist, PL-02554 Warsaw, Poland""]","The emergence of digital technology is a paradigmatic historical change. As a process of transforming social engineering structures, digitization has had a ubiquitous impact on the organization of structures and business logic, as well as on economic principles and rules. The fertile ground for digital technology applications is logistics management, which manifests itself in the dynamic development of logistics 4.0. Increasingly, it is pointed out that digital technology has some distinct features that have fundamental implications for innovation. The aim of the present study is to determine the impact of the risk of implementing digital technologies for logistics management. The study was conducted using the standardized questionnaire interview method with representatives of the management of enterprises. The attempt was random. The sampling was made up of micro, small, medium, and large enterprises from the production and services sectors, having a logistics unit or a logistics division, located in the ""Bisnode Poland"" database. In total, 360 full interviews were carried out. For the study, we defined macro-environment, operational, functional, and microenvironment risks. The basic conclusion is that between each type of risk and the type of digital technologies used in the studied entities and their partners in the supply chain, there is a high and very high dependence in the case of three-dimensional printing (3D printing), artificial intelligence, blockchain, drones, augmented reality, and self-propelled vehicles.",,10.3390/pr7110815     WE  - Science Citation Index Expanded (SCI-EXPANDED)     WE  - Social Science Citation Index (SSCI),logistics management;digital technologies;innovation;risk;CORRELATION-COEFFICIENT;CONFIDENCE-INTERVALS;BINOMIAL PROPORTION,,,True,True,False,True
rayyan-222134701,How does human resource department's client relationship management affect sustainable enterprise performance - in the context of artificial intelligence?,2020,,,INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT,"[""0267-5730"", ""1741-5276     J9  - INT J TECHNOL MANAGE     JI  - Int. J. Technol. Manage.""]",84,1,50-69     WE  - Science Citation Index Expanded (SCI-EXPANDED)     WE  - Social Science Citation Index (SSCI),"Wang, XL and Lei, N and Hou, YZ",,English,,"[""Shanghai Normal Univ, Dept Human Resource Management, New Liberal Arts Bldg,100 Guilin Rd, Shanghai 200234, Peoples R China"", ""East China Normal Univ, Fac Econ & Management, Sch Publ Adm, Sci Bldg A,3663 North ZhongShan Rd, Shanghai 200062, Peoples R China"", ""Fudan Univ, Sch Management, 220 Handan Rd, Shanghai 200433, Peoples R China""]","Artificial intelligence (AI) has penetrated into many fields. How to construct strategic human resources management practices under the background of AI technology has gained great attentions from many researchers in the world. Consequently, the conception of human resource department's client relationship management (HRDCRM) has been put forward. HRDCRM is a focus topic in the practice areas of strategic human resource management. This paper introduced relational capital as a mediating variable and collected two-wave lagged data (N = 235) from the enterprises located in eastern and southern China to conduct an empirical research on relational capital's mediate role by which HRDCRM influences sustainable enterprise performance. Empirical results reveal that under the control of enterprise's ownership and lifecycle-stage, relational capital plays a partial mediate role in the influence of HRDCRM on sustainable enterprise performance. Therefore, the key to improving sustainable enterprise performance is developing the level of HRDCRM and promoting harmonious development between HRDCRM and relational capital.",,,HRDCRM;sustainable enterprise performance;SEP;artificial intelligence;relational capital;ORGANIZATIONAL PERFORMANCE;IMPACT;SMES,,,True,False,False,False
rayyan-222134702,Assessing the adoption barriers for the AI in food supply chain finance applying a hybrid interval-valued Fermatean fuzzy CRITIC-ARAS model,2024,11,13,SCIENTIFIC REPORTS,2045-2322     J9  - SCI REP-UK     JI  - Sci Rep,14,1,,"Wang, WY and Cao, YS and Chen, Y and Liu, C and Han, X and Zhou, B and Wang, WZ",,English,,"[""Nanjing Univ, Sch Management & Engn, Nanjing 210093, Peoples R China"", ""Anhui Normal Univ, Sch Econ & Management, Wuhu 241000, Peoples R China"", ""Jiangsu Hlth Vocat Coll, Nanjing 210029, Peoples R China"", ""Jiangsu Xuzhou Higher Vocat Technol Acad Finance &, Xuzhou 221008, Peoples R China""]","The identification and evaluation of barriers to artificial intelligence (AI) adoption in food supply chain finance (FSCF) can be addressed as a multiattribute decision-making problem. However, only a few studies have reported the application of decision models for evaluating barriers to the implementation of AI in FSCF, especially within an uncertain context. Hence, this work explores the evaluation issue of implementation barriers via an integrated decision model. In this model, the conventional additive ratio assessment (ARAS) model integrated with the Choquet integral and criteria importance through intercriteria correlation (CRITIC) is extended into the interval-valued Fermatean fuzzy (IVFF) setting for ranking the barriers. The IVFF weighted average operator based on the Choquet integral is introduced to form a group decision matrix. Then, the developed ARAS model with the IVFF-CRITIC method is proposed to evaluate the implementation barriers for AI in FSCF, which can depict the interactions between the barriers. Finally, a case of an FSCF, including four participants, is presented to illustrate the application of the reported model and demonstrate its reliability. The result shows that ""Data privacy"" (\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${c_{10}}$$\end{document}) is the main barrier impeding AI adoption in FSCF, and the participant ""small and medium-sized processing enterprises"" (\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${a_3}$$\end{document}) has the highest barrier level to AI adoption.",,10.1038/s41598-024-79177-6     WE  - Science Citation Index Expanded (SCI-EXPANDED),Food supply chain;Interval-valued Fermatean fuzzy set;ARAS;Barrier analysis;AI;GENERALIZED TODIM;RISK-EVALUATION;RESILIENCE;SELECTION;MARCOS,,,True,True,False,False
rayyan-222134703,Adoption of artificial intelligence and big data analytics: an organizational readiness perspective of the textile and garment industry in Bangladesh,2024,11,29,BUSINESS PROCESS MANAGEMENT JOURNAL,"[""1463-7154"", ""1758-4116     J9  - BUS PROCESS MANAG J     JI  - Bus. Process. Manag. J.""]",30,7,2665-2683,"Hossain, MK and Srivastava, A and Oliver, GC and Islam, ME and Jahan, NA and Karim, R and Kanij, T and Mahdi, TH",,English,,"[""Monash Univ, Melbourne, Vic, Australia"", ""Univ Liberal Arts Bangladesh, Dhaka, Bangladesh"", ""Monash Univ Malaysia, Subang Jaya, Malaysia"", ""Bangladesh Univ Text, Dhaka, Bangladesh""]","Purpose - The purpose of this paper is to investigate the organizational readiness perspective of adopting artificial intelligence and big data analytics in the textile and garment industry in Bangladesh along with identifying the associated factors.        Design/methodology/approach - The research uses a qualitative method using semi-structured interviews with representatives of business organizations and stakeholders of Bangladesh's textile and garment industry.        Findings - The research reveals that the textile and garment industry in Bangladesh currently has low organizational readiness to adopt artificial intelligence and big data analytics. This is due to moderate knowledge- and leadership-readiness along with low human-, finance- and engagement-readiness of most of the business organizations. The readiness aspects interplay with each other and need to be improved holistically.        Practical implications - Considering the significant global and national importance of Bangladesh's textile and garment industry, gaining insights into the industry's current state of readiness for adopting artificial intelligence and big data analytics would offer valuable assistance to both national and global economies and may enhance economic outcomes.        Originality/value - Since no exploratory study was conducted to understand the organizational readiness aspects of adopting artificial intelligence and big data analytics of the globally significant textile and garment industry in Bangladesh, the paper analyzes five key aspects of such readiness and offers a basis for conducting similar studies in other emerging economies.",,10.1108/BPMJ-11-2023-0914,Artificial intelligence;Big data analytics;Organizational readiness;Textile and garment industry;Bangladesh;COMMERCE ADOPTION;DETERMINANTS;SMES;AI,,,True,True,False,False
rayyan-222134704,"Bonseyes AI Pipeline-Bringing AI to You: End-to-end integration of data, algorithms, and deployment tools",2020,11,,ACM TRANSACTIONS ON INTERNET OF THINGS,"[""2691-1914"", ""2577-6207     J9  - ACM T INTERNET THING     JI  - ACM Trans. Internet Things""]",1,4,,"De Prado, M and Su, J and Saeed, R and Keller, L and Vallez, N and Anderson, A and Gregg, D and Benini, L and Llewellynn, T and Ouerhani, N and Dahyot, R and Pazos, N",,English,,"[""Haute Ecole Arc Ingn, Neuchatel, Switzerland"", ""HES SO, Neuchatel, Switzerland"", ""Swiss Fed Inst Technol, Integrated Syst Lab, Zurich, Switzerland"", ""Trinity Coll Dublin, Sch Comp Sci & Stat, Dublin, Ireland"", ""Nviso, Vaud, Switzerland"", ""Univ Castilla La Mancha, Ciudad Real, Spain""]","Next generation of embedded Information and Communication Technology (ICT) systems are interconnected and collaborative systems able to perform autonomous tasks. The remarkable expansion of the embedded ICT market, together with the rise and breakthroughs of Artificial Intelligence (AI), have put the focus on the Edge as it stands as one of the keys for the next technological revolution: the seamless integration of AI in our daily life. However, training and deployment of custom AI solutions on embedded devices require a fine-grained integration of data, algorithms, and tools to achieve high accuracy and overcome functional and non-functional requirements. Such integration requires a high level of expertise that becomes a real bottleneck for small and medium enterprises wanting to deploy AI solutions on the Edge, which, ultimately, slows down the adoption of AI on applications in our daily life.        In this work, we present a modular AI pipeline as an integrating framework to bring data, algorithms, and deployment tools together. By removing the integration barriers and lowering the required expertise, we can interconnect the different stages of particular tools and provide a modular end-to-end development of AI products for embedded devices. Our AI pipeline consists of four modular main steps: (i) data ingestion, (ii) model training, (iii) deployment optimization, and (iv) the IoT hub integration. To showthe effectiveness of our pipeline, we provide examples of different AI applications during each of the steps. Besides, we integrate our deployment framework, Low-Power Deep Neural Network (LPDNN), into the AI pipeline and present its lightweight architecture and deployment capabilities for embedded devices. Finally, we demonstrate the results of the AI pipeline by showing the deployment of several AI applications such as keyword spotting, image classification, and object detection on a set of well-known embedded platforms, where LPDNN consistently outperforms all other popular deployment frameworks.",,10.1145/3403572     WE  - Emerging Sources Citation Index (ESCI),AI pipeline;deep learning;keyword spotting;fragmentation,,,True,True,True,False
rayyan-222134705,Early internationalisation of entrepreneurial firms: the role of artificial intelligence enhanced business models,2022,,,JOURNAL FOR INTERNATIONAL BUSINESS AND ENTREPRENEURSHIP DEVELOPMENT,"[""1549-9324"", ""1747-6763     J9  - J INT BUS ENTREP DEV     JI  - J. Int. Bus. Entrep. Dev.""]",14,4,536-556,"Arshi, TA and Rao, V and Begum, V and Çapar, N",,English,,"[""Amer Univ Ras Al Khaimah, 75 Sheikh Humaid Bin Mohamed, Seih Al Araibi 72603, Ras Al Khaimah, U Arab Emirates"", ""Majan Univ Coll, Muscat 112, Oman"", ""KIMEP Univ, Abay Ave 2, Alma Ata 050010, Kazakhstan""]","The internationalisation of new firms has become an important research topic in recent years with the emergence of such firms. Consequently, an increased amount of research has been published examining the nature of the internationalisation of new firms. This study proposes an artificial intelligence-enabled business model design that helps entrepreneurs with early internationalisation by overcoming the limitations that new firms might be facing. Entrepreneurs face early internationalisation challenges due to limited resources that restrict their ability to internationalise quickly. This study is based on a sample of 337 new international entrepreneurial firms from India. The study utilises an artificial intelligence (AI) model based on a neural network model to predict the effect of business model design measures on the performance of firms. The results show that our model could predict entrepreneurial capability and financial performance outcomes. In other words, the model allows firms to increase their success in international markets by reducing the risks, learning time, and efforts linked with early internationalisation.",,10.1504/JIBED.2022.130387     WE  - Emerging Sources Citation Index (ESCI),internationalisation;entrepreneurial firms;emerging economies;business model;artificial intelligence;entrepreneurial capability;financial performance;OPEN INNOVATION;BEHAVIOR;SMES;OPPORTUNITIES;CAPABILITIES;PERFORMANCE;ECONOMIES;VENTURES,,,True,True,False,False
rayyan-222134706,Navigating Gender Nuances: Assessing the Impact of AI on Employee Engagement in Slovenian Entrepreneurship,2024,5,,SYSTEMS,2079-8954     J9  - SYSTEMS-BASEL     JI  - Systems-Basel,12,5,,"Rozman, M and Tominc, P",,English,,"Univ Maribor, Fac Econ & Business, Dept Quantitat Econ Anal, Maribor 2000, Slovenia","Background: Our research delved into exploring various selected facets of AI-driven employee engagement, from the gender perspective, among Slovenian entrepreneurs. Methods: This research is based on a random sample of 326 large enterprises and SMEs in Slovenia, with an entrepreneur completing a questionnaire in each enterprise. Results: Findings suggest that there are no significant differences between male and female entrepreneurs in Slovenia regarding various aspects of AI-supported entrepreneurial management practice including the following: AI-supported entrepreneurial culture, AI-enhanced leadership, adopting AI to reduce employee workload, and incorporating AI tools into work processes. The widespread integration of AI into entrepreneurship marks a transition to a business landscape that values inclusivity and equity, measuring success through creativity, strategic technology deployment, and leadership qualities, rather than relying on gender-based advantages or limitations. Our research also focused on the identification of gender differences in path coefficients regarding the impact of the four previously mentioned aspects of AI on employee engagement. While both genders see the value in using AI to alleviate employee workload, the path coefficients indicate that female entrepreneurs report higher effectiveness in this area, suggesting differences in the implementation of AI-integrated strategies or tool selection. Male entrepreneurs, on the other hand, appear to integrate AI tools into their work processes more extensively, particularly in areas requiring predictive analytics and project scheduling. This suggests a more technical application of AI in their enterprises. Conclusions: These findings contribute to understanding gender-specific approaches to AI in enterprises and their subsequent effects on employee engagement.",,10.3390/systems12050145     WE  - Social Science Citation Index (SSCI),entrepreneurship;artificial intelligence;AI-supported entrepreneurial culture;AI-enhanced leadership;adopting AI to reduce employee workload;incorporating AI tools into work processes;employee engagement;ARTIFICIAL-INTELLIGENCE;LEADERSHIP-STYLES,,,True,True,False,True
